team,tournament_year,goals_scored,fbref_goals_per90,fbref_xg_per90,fbref_assists_per90
Algeria,1977,1,0.1,0.085,0.04000000000000001
Algeria,1980,14,1.4,1.19,0.5599999999999999
Algeria,1981,8,0.8,0.68,0.32000000000000006
Algeria,1982,10,1.0,0.85,0.4
Algeria,1984,8,0.8,0.68,0.32000000000000006
Algeria,1985,13,1.3,1.105,0.52
Algeria,1986,3,0.3,0.255,0.12
Algeria,1988,4,0.4,0.34,0.16000000000000003
Algeria,1989,6,0.6,0.51,0.24
Algeria,1990,13,1.3,1.105,0.52
Algeria,1992,4,0.4,0.34,0.16000000000000003
Algeria,1993,5,0.5,0.425,0.2
Algeria,1996,7,0.7,0.595,0.27999999999999997
Algeria,1998,2,0.2,0.17,0.08000000000000002
Algeria,2000,9,0.9,0.765,0.36000000000000004
Algeria,2001,9,0.9,0.765,0.36000000000000004
Algeria,2002,2,0.2,0.17,0.08000000000000002
Algeria,2003,7,0.7,0.595,0.27999999999999997
Algeria,2004,7,0.7,0.595,0.27999999999999997
Algeria,2005,6,0.6,0.51,0.24
Algeria,2008,7,0.7,0.595,0.27999999999999997
Algeria,2009,10,1.0,0.85,0.4
Algeria,2010,4,0.4,0.34,0.16000000000000003
Algeria,2012,5,0.5,0.425,0.2
Algeria,2013,13,1.3,1.105,0.52
Algeria,2014,7,0.7,0.595,0.27999999999999997
Algeria,2015,15,1.5,1.275,0.6000000000000001
Algeria,2016,2,0.2,0.17,0.08000000000000002
Algeria,2017,6,0.6,0.51,0.24
Algeria,2019,13,1.3,1.105,0.52
Algeria,2021,25,2.5,2.125,1.0
Algeria,2022,3,0.3,0.255,0.12
Algeria,2023,5,0.5,0.425,0.2
Algeria,2024,6,0.6,0.51,0.24
Algeria,2025,23,2.3,1.9549999999999998,0.9199999999999999
Algeria,2026,1,0.1,0.085,0.04000000000000001
American Samoa,2004,1,0.1,0.085,0.04000000000000001
American Samoa,2011,3,0.3,0.255,0.12
American Samoa,2015,6,0.6,0.51,0.24
Andorra,1998,1,0.1,0.085,0.04000000000000001
Andorra,1999,2,0.2,0.17,0.08000000000000002
Andorra,2000,3,0.3,0.255,0.12
Andorra,2001,2,0.2,0.17,0.08000000000000002
Andorra,2002,1,0.1,0.085,0.04000000000000001
Andorra,2004,2,0.2,0.17,0.08000000000000002
Andorra,2005,2,0.2,0.17,0.08000000000000002
Andorra,2006,1,0.1,0.085,0.04000000000000001
Andorra,2007,1,0.1,0.085,0.04000000000000001
Andorra,2008,1,0.1,0.085,0.04000000000000001
Andorra,2009,2,0.2,0.17,0.08000000000000002
Andorra,2010,1,0.1,0.085,0.04000000000000001
Andorra,2014,2,0.2,0.17,0.08000000000000002
Andorra,2015,2,0.2,0.17,0.08000000000000002
Andorra,2016,1,0.1,0.085,0.04000000000000001
Andorra,2017,1,0.1,0.085,0.04000000000000001
Andorra,2018,2,0.2,0.17,0.08000000000000002
Andorra,2019,3,0.3,0.255,0.12
Andorra,2020,1,0.1,0.085,0.04000000000000001
Andorra,2021,8,0.8,0.68,0.32000000000000006
Andorra,2022,6,0.6,0.51,0.24
Andorra,2023,3,0.3,0.255,0.12
Andorra,2025,3,0.3,0.255,0.12
Angola,1984,1,0.1,0.085,0.04000000000000001
Angola,1985,2,0.2,0.17,0.08000000000000002
Angola,1988,2,0.2,0.17,0.08000000000000002
Angola,1989,6,0.6,0.51,0.24
Angola,1993,3,0.3,0.255,0.12
Angola,1996,11,1.1,0.935,0.44000000000000006
Angola,1997,5,0.5,0.425,0.2
Angola,1998,5,0.5,0.425,0.2
Angola,2000,10,1.0,0.85,0.4
Angola,2001,9,0.9,0.765,0.36000000000000004
Angola,2003,3,0.3,0.255,0.12
Angola,2004,5,0.5,0.425,0.2
Angola,2005,7,0.7,0.595,0.27999999999999997
Angola,2006,5,0.5,0.425,0.2
Angola,2008,16,1.6,1.36,0.6400000000000001
Angola,2010,6,0.6,0.51,0.24
Angola,2012,5,0.5,0.425,0.2
Angola,2013,8,0.8,0.68,0.32000000000000006
Angola,2015,1,0.1,0.085,0.04000000000000001
Angola,2019,4,0.4,0.34,0.16000000000000003
Angola,2021,6,0.6,0.51,0.24
Angola,2024,11,1.1,0.935,0.44000000000000006
Angola,2025,9,0.9,0.765,0.36000000000000004
Anguilla,2000,2,0.2,0.17,0.08000000000000002
Anguilla,2024,1,0.1,0.085,0.04000000000000001
Antigua and Barbuda,1992,5,0.5,0.425,0.2
Antigua and Barbuda,1996,4,0.4,0.34,0.16000000000000003
Antigua and Barbuda,2000,4,0.4,0.34,0.16000000000000003
Antigua and Barbuda,2004,2,0.2,0.17,0.08000000000000002
Antigua and Barbuda,2008,7,0.7,0.595,0.27999999999999997
Antigua and Barbuda,2011,26,2.6,2.21,1.04
Antigua and Barbuda,2012,4,0.4,0.34,0.16000000000000003
Antigua and Barbuda,2015,6,0.6,0.51,0.24
Antigua and Barbuda,2021,6,0.6,0.51,0.24
Antigua and Barbuda,2024,1,0.1,0.085,0.04000000000000001
Argentina,1916,7,0.7,0.595,0.27999999999999997
Argentina,1917,5,0.5,0.425,0.2
Argentina,1919,7,0.7,0.595,0.27999999999999997
Argentina,1920,4,0.4,0.34,0.16000000000000003
Argentina,1921,5,0.5,0.425,0.2
Argentina,1922,6,0.6,0.51,0.24
Argentina,1923,6,0.6,0.51,0.24
Argentina,1924,2,0.2,0.17,0.08000000000000002
Argentina,1925,11,1.1,0.935,0.44000000000000006
Argentina,1926,14,1.4,1.19,0.5599999999999999
Argentina,1927,15,1.5,1.275,0.6000000000000001
Argentina,1928,25,2.5,2.125,1.0
Argentina,1929,9,0.9,0.765,0.36000000000000004
Argentina,1930,18,1.8,1.53,0.7200000000000001
Argentina,1934,2,0.2,0.17,0.08000000000000002
Argentina,1935,8,0.8,0.68,0.32000000000000006
Argentina,1936,2,0.2,0.17,0.08000000000000002
Argentina,1937,12,1.2,1.02,0.48
Argentina,1941,10,1.0,0.85,0.4
Argentina,1942,21,2.1,1.785,0.8400000000000001
Argentina,1945,22,2.2,1.87,0.8800000000000001
Argentina,1946,17,1.7,1.4449999999999998,0.68
Argentina,1947,28,2.8,2.38,1.1199999999999999
Argentina,1955,18,1.8,1.53,0.7200000000000001
Argentina,1956,5,0.5,0.425,0.2
Argentina,1957,35,3.5,2.975,1.4000000000000001
Argentina,1958,5,0.5,0.425,0.2
Argentina,1959,28,2.8,2.38,1.1199999999999999
Argentina,1960,11,1.1,0.935,0.44000000000000006
Argentina,1962,2,0.2,0.17,0.08000000000000002
Argentina,1963,15,1.5,1.275,0.6000000000000001
Argentina,1965,9,0.9,0.765,0.36000000000000004
Argentina,1966,4,0.4,0.34,0.16000000000000003
Argentina,1967,12,1.2,1.02,0.48
Argentina,1969,4,0.4,0.34,0.16000000000000003
Argentina,1973,9,0.9,0.765,0.36000000000000004
Argentina,1974,9,0.9,0.765,0.36000000000000004
Argentina,1975,17,1.7,1.4449999999999998,0.68
Argentina,1978,15,1.5,1.275,0.6000000000000001
Argentina,1979,7,0.7,0.595,0.27999999999999997
Argentina,1982,8,0.8,0.68,0.32000000000000006
Argentina,1983,5,0.5,0.425,0.2
Argentina,1985,12,1.2,1.02,0.48
Argentina,1986,14,1.4,1.19,0.5599999999999999
Argentina,1987,5,0.5,0.425,0.2
Argentina,1989,2,0.2,0.17,0.08000000000000002
Argentina,1990,5,0.5,0.425,0.2
Argentina,1991,16,1.6,1.36,0.6400000000000001
Argentina,1992,7,0.7,0.595,0.27999999999999997
Argentina,1993,16,1.6,1.36,0.6400000000000001
Argentina,1994,8,0.8,0.68,0.32000000000000006
Argentina,1995,13,1.3,1.105,0.52
Argentina,1996,10,1.0,0.85,0.4
Argentina,1997,17,1.7,1.4449999999999998,0.68
Argentina,1998,10,1.0,0.85,0.4
Argentina,1999,6,0.6,0.51,0.24
Argentina,2000,22,2.2,1.87,0.8800000000000001
Argentina,2001,20,2.0,1.7,0.8
Argentina,2002,2,0.2,0.17,0.08000000000000002
Argentina,2003,9,0.9,0.765,0.36000000000000004
Argentina,2004,28,2.8,2.38,1.1199999999999999
Argentina,2005,18,1.8,1.53,0.7200000000000001
Argentina,2006,11,1.1,0.935,0.44000000000000006
Argentina,2007,24,2.4,2.04,0.96
Argentina,2008,5,0.5,0.425,0.2
Argentina,2009,10,1.0,0.85,0.4
Argentina,2010,10,1.0,0.85,0.4
Argentina,2011,12,1.2,1.02,0.48
Argentina,2012,13,1.3,1.105,0.52
Argentina,2013,15,1.5,1.275,0.6000000000000001
Argentina,2014,8,0.8,0.68,0.32000000000000006
Argentina,2015,12,1.2,1.02,0.48
Argentina,2016,30,3.0,2.55,1.2000000000000002
Argentina,2017,5,0.5,0.425,0.2
Argentina,2018,6,0.6,0.51,0.24
Argentina,2019,7,0.7,0.595,0.27999999999999997
Argentina,2020,6,0.6,0.51,0.24
Argentina,2021,26,2.6,2.21,1.04
Argentina,2022,25,2.5,2.125,1.0
Argentina,2023,8,0.8,0.68,0.32000000000000006
Argentina,2024,22,2.2,1.87,0.8800000000000001
Argentina,2025,10,1.0,0.85,0.4
Argentina,2026,3,0.3,0.255,0.12
Armenia,1995,5,0.5,0.425,0.2
Armenia,1996,3,0.3,0.255,0.12
Armenia,1997,5,0.5,0.425,0.2
Armenia,1998,3,0.3,0.255,0.12
Armenia,1999,5,0.5,0.425,0.2
Armenia,2000,3,0.3,0.255,0.12
Armenia,2001,4,0.4,0.34,0.16000000000000003
Armenia,2002,2,0.2,0.17,0.08000000000000002
Armenia,2003,5,0.5,0.425,0.2
Armenia,2004,2,0.2,0.17,0.08000000000000002
Armenia,2005,7,0.7,0.595,0.27999999999999997
Armenia,2007,4,0.4,0.34,0.16000000000000003
Armenia,2008,1,0.1,0.085,0.04000000000000001
Armenia,2009,5,0.5,0.425,0.2
Armenia,2010,9,0.9,0.765,0.36000000000000004
Armenia,2011,13,1.3,1.105,0.52
Armenia,2012,2,0.2,0.17,0.08000000000000002
Armenia,2013,10,1.0,0.85,0.4
Armenia,2014,2,0.2,0.17,0.08000000000000002
Armenia,2015,3,0.3,0.255,0.12
Armenia,2016,4,0.4,0.34,0.16000000000000003
Armenia,2017,6,0.6,0.51,0.24
Armenia,2018,14,1.4,1.19,0.5599999999999999
Armenia,2019,14,1.4,1.19,0.5599999999999999
Armenia,2020,9,0.9,0.765,0.36000000000000004
Armenia,2021,9,0.9,0.765,0.36000000000000004
Armenia,2022,4,0.4,0.34,0.16000000000000003
Armenia,2023,9,0.9,0.765,0.36000000000000004
Armenia,2024,8,0.8,0.68,0.32000000000000006
Armenia,2025,4,0.4,0.34,0.16000000000000003
Aruba,1996,3,0.3,0.255,0.12
Aruba,2000,7,0.7,0.595,0.27999999999999997
Aruba,2004,2,0.2,0.17,0.08000000000000002
Aruba,2011,6,0.6,0.51,0.24
Aruba,2015,2,0.2,0.17,0.08000000000000002
Aruba,2021,3,0.3,0.255,0.12
Aruba,2024,2,0.2,0.17,0.08000000000000002
Aruba,2025,1,0.1,0.085,0.04000000000000001
Australia,1965,2,0.2,0.17,0.08000000000000002
Australia,1969,12,1.2,1.02,0.48
Australia,1973,21,2.1,1.785,0.8400000000000001
Australia,1977,20,2.0,1.7,0.8
Australia,1980,24,2.4,2.04,0.96
Australia,1981,22,2.2,1.87,0.8800000000000001
Australia,1985,20,2.0,1.7,0.8
Australia,1988,5,0.5,0.425,0.2
Australia,1989,6,0.6,0.51,0.24
Australia,1992,13,1.3,1.105,0.52
Australia,1993,8,0.8,0.68,0.32000000000000006
Australia,1995,3,0.3,0.255,0.12
Australia,1996,11,1.1,0.935,0.44000000000000006
Australia,1997,38,3.8,3.23,1.52
Australia,1998,23,2.3,1.9549999999999998,0.9199999999999999
Australia,2000,26,2.6,2.21,1.04
Australia,2001,77,7.7,6.545,3.08
Australia,2002,23,2.3,1.9549999999999998,0.9199999999999999
Australia,2004,32,3.2,2.72,1.2800000000000002
Australia,2005,15,1.5,1.275,0.6000000000000001
Australia,2006,5,0.5,0.425,0.2
Australia,2007,7,0.7,0.595,0.27999999999999997
Australia,2008,13,1.3,1.105,0.52
Australia,2009,6,0.6,0.51,0.24
Australia,2010,3,0.3,0.255,0.12
Australia,2011,22,2.2,1.87,0.8800000000000001
Australia,2012,8,0.8,0.68,0.32000000000000006
Australia,2013,8,0.8,0.68,0.32000000000000006
Australia,2014,3,0.3,0.255,0.12
Australia,2015,31,3.1,2.635,1.2400000000000002
Australia,2016,20,2.0,1.7,0.8
Australia,2017,18,1.8,1.53,0.7200000000000001
Australia,2018,2,0.2,0.17,0.08000000000000002
Australia,2019,22,2.2,1.87,0.8800000000000001
Australia,2021,21,2.1,1.785,0.8400000000000001
Australia,2022,12,1.2,1.02,0.48
Australia,2023,8,0.8,0.68,0.32000000000000006
Australia,2024,29,2.9,2.465,1.16
Australia,2025,10,1.0,0.85,0.4
Australia,2026,2,0.2,0.17,0.08000000000000002
Austria,1934,13,1.3,1.105,0.52
Austria,1937,2,0.2,0.17,0.08000000000000002
Austria,1953,9,0.9,0.765,0.36000000000000004
Austria,1954,17,1.7,1.4449999999999998,0.68
Austria,1956,7,0.7,0.595,0.27999999999999997
Austria,1957,7,0.7,0.595,0.27999999999999997
Austria,1958,2,0.2,0.17,0.08000000000000002
Austria,1959,8,0.8,0.68,0.32000000000000006
Austria,1960,2,0.2,0.17,0.08000000000000002
Austria,1963,2,0.2,0.17,0.08000000000000002
Austria,1965,1,0.1,0.085,0.04000000000000001
Austria,1967,8,0.8,0.68,0.32000000000000006
Austria,1968,8,0.8,0.68,0.32000000000000006
Austria,1969,4,0.4,0.34,0.16000000000000003
Austria,1970,1,0.1,0.085,0.04000000000000001
Austria,1971,13,1.3,1.105,0.52
Austria,1972,10,1.0,0.85,0.4
Austria,1973,5,0.5,0.425,0.2
Austria,1974,2,0.2,0.17,0.08000000000000002
Austria,1975,9,0.9,0.765,0.36000000000000004
Austria,1976,1,0.1,0.085,0.04000000000000001
Austria,1977,13,1.3,1.105,0.52
Austria,1978,13,1.3,1.105,0.52
Austria,1979,8,0.8,0.68,0.32000000000000006
Austria,1980,8,0.8,0.68,0.32000000000000006
Austria,1981,8,0.8,0.68,0.32000000000000006
Austria,1982,16,1.6,1.36,0.6400000000000001
Austria,1983,4,0.4,0.34,0.16000000000000003
Austria,1984,4,0.4,0.34,0.16000000000000003
Austria,1985,5,0.5,0.425,0.2
Austria,1986,3,0.3,0.255,0.12
Austria,1987,3,0.3,0.255,0.12
Austria,1988,3,0.3,0.255,0.12
Austria,1989,6,0.6,0.51,0.24
Austria,1990,3,0.3,0.255,0.12
Austria,1991,5,0.5,0.425,0.2
Austria,1992,5,0.5,0.425,0.2
Austria,1993,10,1.0,0.85,0.4
Austria,1994,5,0.5,0.425,0.2
Austria,1995,24,2.4,2.04,0.96
Austria,1996,3,0.3,0.255,0.12
Austria,1997,14,1.4,1.19,0.5599999999999999
Austria,1998,11,1.1,0.935,0.44000000000000006
Austria,1999,11,1.1,0.935,0.44000000000000006
Austria,2000,2,0.2,0.17,0.08000000000000002
Austria,2001,8,0.8,0.68,0.32000000000000006
Austria,2002,4,0.4,0.34,0.16000000000000003
Austria,2003,8,0.8,0.68,0.32000000000000006
Austria,2004,8,0.8,0.68,0.32000000000000006
Austria,2005,7,0.7,0.595,0.27999999999999997
Austria,2008,6,0.6,0.51,0.24
Austria,2009,9,0.9,0.765,0.36000000000000004
Austria,2010,9,0.9,0.765,0.36000000000000004
Austria,2011,7,0.7,0.595,0.27999999999999997
Austria,2012,5,0.5,0.425,0.2
Austria,2013,15,1.5,1.275,0.6000000000000001
Austria,2014,5,0.5,0.425,0.2
Austria,2015,17,1.7,1.4449999999999998,0.68
Austria,2016,7,0.7,0.595,0.27999999999999997
Austria,2017,8,0.8,0.68,0.32000000000000006
Austria,2018,3,0.3,0.255,0.12
Austria,2019,19,1.9,1.615,0.76
Austria,2020,9,0.9,0.765,0.36000000000000004
Austria,2021,24,2.4,2.04,0.96
Austria,2022,7,0.7,0.595,0.27999999999999997
Austria,2023,17,1.7,1.4449999999999998,0.68
Austria,2024,21,2.1,1.785,0.8400000000000001
Austria,2025,23,2.3,1.9549999999999998,0.9199999999999999
Austria,2026,3,0.3,0.255,0.12
Azerbaijan,1995,2,0.2,0.17,0.08000000000000002
Azerbaijan,1996,1,0.1,0.085,0.04000000000000001
Azerbaijan,1997,2,0.2,0.17,0.08000000000000002
Azerbaijan,1998,1,0.1,0.085,0.04000000000000001
Azerbaijan,1999,5,0.5,0.425,0.2
Azerbaijan,2001,4,0.4,0.34,0.16000000000000003
Azerbaijan,2003,5,0.5,0.425,0.2
Azerbaijan,2004,1,0.1,0.085,0.04000000000000001
Azerbaijan,2006,1,0.1,0.085,0.04000000000000001
Azerbaijan,2007,5,0.5,0.425,0.2
Azerbaijan,2009,4,0.4,0.34,0.16000000000000003
Azerbaijan,2010,2,0.2,0.17,0.08000000000000002
Azerbaijan,2011,8,0.8,0.68,0.32000000000000006
Azerbaijan,2012,2,0.2,0.17,0.08000000000000002
Azerbaijan,2013,5,0.5,0.425,0.2
Azerbaijan,2014,2,0.2,0.17,0.08000000000000002
Azerbaijan,2015,5,0.5,0.425,0.2
Azerbaijan,2016,2,0.2,0.17,0.08000000000000002
Azerbaijan,2017,8,0.8,0.68,0.32000000000000006
Azerbaijan,2018,7,0.7,0.595,0.27999999999999997
Azerbaijan,2019,5,0.5,0.425,0.2
Azerbaijan,2020,2,0.2,0.17,0.08000000000000002
Azerbaijan,2021,5,0.5,0.425,0.2
Azerbaijan,2022,7,0.7,0.595,0.27999999999999997
Azerbaijan,2023,7,0.7,0.595,0.27999999999999997
Azerbaijan,2024,3,0.3,0.255,0.12
Azerbaijan,2025,3,0.3,0.255,0.12
Bahamas,2000,5,0.5,0.425,0.2
Bahamas,2004,2,0.2,0.17,0.08000000000000002
Bahamas,2008,3,0.3,0.255,0.12
Bahamas,2011,10,1.0,0.85,0.4
Bahamas,2024,1,0.1,0.085,0.04000000000000001
Bahrain,1977,4,0.4,0.34,0.16000000000000003
Bahrain,1981,1,0.1,0.085,0.04000000000000001
Bahrain,1985,8,0.8,0.68,0.32000000000000006
Bahrain,1988,1,0.1,0.085,0.04000000000000001
Bahrain,1993,9,0.9,0.765,0.36000000000000004
Bahrain,1997,3,0.3,0.255,0.12
Bahrain,2001,17,1.7,1.4449999999999998,0.68
Bahrain,2004,28,2.8,2.38,1.1199999999999999
Bahrain,2005,6,0.6,0.51,0.24
Bahrain,2007,7,0.7,0.595,0.27999999999999997
Bahrain,2008,10,1.0,0.85,0.4
Bahrain,2009,5,0.5,0.425,0.2
Bahrain,2011,9,0.9,0.765,0.36000000000000004
Bahrain,2012,10,1.0,0.85,0.4
Bahrain,2015,10,1.0,0.85,0.4
Bahrain,2016,3,0.3,0.255,0.12
Bahrain,2019,6,0.6,0.51,0.24
Bahrain,2021,12,1.2,1.02,0.48
Bahrain,2023,2,0.2,0.17,0.08000000000000002
Bahrain,2024,18,1.8,1.53,0.7200000000000001
Bangladesh,1980,2,0.2,0.17,0.08000000000000002
Bangladesh,1985,5,0.5,0.425,0.2
Bangladesh,1989,4,0.4,0.34,0.16000000000000003
Bangladesh,1993,7,0.7,0.595,0.27999999999999997
Bangladesh,1997,4,0.4,0.34,0.16000000000000003
Bangladesh,2001,5,0.5,0.425,0.2
Bangladesh,2007,1,0.1,0.085,0.04000000000000001
Bangladesh,2011,5,0.5,0.425,0.2
Bangladesh,2015,2,0.2,0.17,0.08000000000000002
Bangladesh,2019,3,0.3,0.255,0.12
Bangladesh,2021,1,0.1,0.085,0.04000000000000001
Bangladesh,2023,4,0.4,0.34,0.16000000000000003
Barbados,1992,1,0.1,0.085,0.04000000000000001
Barbados,1996,2,0.2,0.17,0.08000000000000002
Barbados,2000,17,1.7,1.4449999999999998,0.68
Barbados,2004,2,0.2,0.17,0.08000000000000002
Barbados,2008,2,0.2,0.17,0.08000000000000002
Barbados,2011,2,0.2,0.17,0.08000000000000002
Barbados,2015,6,0.6,0.51,0.24
Barbados,2021,3,0.3,0.255,0.12
Barbados,2024,2,0.2,0.17,0.08000000000000002
Barbados,2025,2,0.2,0.17,0.08000000000000002
Belarus,1994,2,0.2,0.17,0.08000000000000002
Belarus,1995,6,0.6,0.51,0.24
Belarus,1996,3,0.3,0.255,0.12
Belarus,1997,2,0.2,0.17,0.08000000000000002
Belarus,1998,2,0.2,0.17,0.08000000000000002
Belarus,1999,2,0.2,0.17,0.08000000000000002
Belarus,2000,5,0.5,0.425,0.2
Belarus,2001,7,0.7,0.595,0.27999999999999997
Belarus,2003,4,0.4,0.34,0.16000000000000003
Belarus,2004,8,0.8,0.68,0.32000000000000006
Belarus,2005,4,0.4,0.34,0.16000000000000003
Belarus,2006,7,0.7,0.595,0.27999999999999997
Belarus,2007,10,1.0,0.85,0.4
Belarus,2008,4,0.4,0.34,0.16000000000000003
Belarus,2009,15,1.5,1.275,0.6000000000000001
Belarus,2010,3,0.3,0.255,0.12
Belarus,2011,5,0.5,0.425,0.2
Belarus,2012,3,0.3,0.255,0.12
Belarus,2013,4,0.4,0.34,0.16000000000000003
Belarus,2014,2,0.2,0.17,0.08000000000000002
Belarus,2015,6,0.6,0.51,0.24
Belarus,2016,2,0.2,0.17,0.08000000000000002
Belarus,2017,4,0.4,0.34,0.16000000000000003
Belarus,2018,10,1.0,0.85,0.4
Belarus,2019,4,0.4,0.34,0.16000000000000003
Belarus,2020,10,1.0,0.85,0.4
Belarus,2021,7,0.7,0.595,0.27999999999999997
Belarus,2022,3,0.3,0.255,0.12
Belarus,2023,9,0.9,0.765,0.36000000000000004
Belarus,2024,3,0.3,0.255,0.12
Belarus,2025,4,0.4,0.34,0.16000000000000003
Belgium,1924,1,0.1,0.085,0.04000000000000001
Belgium,1928,9,0.9,0.765,0.36000000000000004
Belgium,1934,8,0.8,0.68,0.32000000000000006
Belgium,1938,5,0.5,0.425,0.2
Belgium,1953,11,1.1,0.935,0.44000000000000006
Belgium,1954,5,0.5,0.425,0.2
Belgium,1956,3,0.3,0.255,0.12
Belgium,1957,13,1.3,1.105,0.52
Belgium,1960,2,0.2,0.17,0.08000000000000002
Belgium,1961,1,0.1,0.085,0.04000000000000001
Belgium,1962,2,0.2,0.17,0.08000000000000002
Belgium,1965,12,1.2,1.02,0.48
Belgium,1966,2,0.2,0.17,0.08000000000000002
Belgium,1967,12,1.2,1.02,0.48
Belgium,1968,12,1.2,1.02,0.48
Belgium,1969,2,0.2,0.17,0.08000000000000002
Belgium,1970,6,0.6,0.51,0.24
Belgium,1971,9,0.9,0.765,0.36000000000000004
Belgium,1972,15,1.5,1.275,0.6000000000000001
Belgium,1973,2,0.2,0.17,0.08000000000000002
Belgium,1974,4,0.4,0.34,0.16000000000000003
Belgium,1975,2,0.2,0.17,0.08000000000000002
Belgium,1976,4,0.4,0.34,0.16000000000000003
Belgium,1977,4,0.4,0.34,0.16000000000000003
Belgium,1978,2,0.2,0.17,0.08000000000000002
Belgium,1979,10,1.0,0.85,0.4
Belgium,1980,8,0.8,0.68,0.32000000000000006
Belgium,1981,8,0.8,0.68,0.32000000000000006
Belgium,1982,9,0.9,0.765,0.36000000000000004
Belgium,1983,6,0.6,0.51,0.24
Belgium,1984,7,0.7,0.595,0.27999999999999997
Belgium,1985,6,0.6,0.51,0.24
Belgium,1986,21,2.1,1.785,0.8400000000000001
Belgium,1987,7,0.7,0.595,0.27999999999999997
Belgium,1988,1,0.1,0.085,0.04000000000000001
Belgium,1989,14,1.4,1.19,0.5599999999999999
Belgium,1990,7,0.7,0.595,0.27999999999999997
Belgium,1991,6,0.6,0.51,0.24
Belgium,1992,9,0.9,0.765,0.36000000000000004
Belgium,1993,7,0.7,0.595,0.27999999999999997
Belgium,1994,9,0.9,0.765,0.36000000000000004
Belgium,1995,12,1.2,1.02,0.48
Belgium,1996,5,0.5,0.425,0.2
Belgium,1997,18,1.8,1.53,0.7200000000000001
Belgium,1998,3,0.3,0.255,0.12
Belgium,2000,6,0.6,0.51,0.24
Belgium,2001,23,2.3,1.9549999999999998,0.9199999999999999
Belgium,2002,8,0.8,0.68,0.32000000000000006
Belgium,2003,9,0.9,0.765,0.36000000000000004
Belgium,2004,1,0.1,0.085,0.04000000000000001
Belgium,2005,15,1.5,1.275,0.6000000000000001
Belgium,2006,4,0.4,0.34,0.16000000000000003
Belgium,2007,10,1.0,0.85,0.4
Belgium,2008,7,0.7,0.595,0.27999999999999997
Belgium,2009,6,0.6,0.51,0.24
Belgium,2010,8,0.8,0.68,0.32000000000000006
Belgium,2011,13,1.3,1.105,0.52
Belgium,2012,8,0.8,0.68,0.32000000000000006
Belgium,2013,10,1.0,0.85,0.4
