team,tournament_year,squad_market_value
Germany,2017,947000000.0
Germany,2018,947000000.0
Germany,2019,947000000.0
Germany,2020,947000000.0
Germany,2021,947000000.0
Germany,2022,947000000.0
Germany,2023,947000000.0
Germany,2024,947000000.0
Germany,2025,947000000.0
Germany,2026,947000000.0
Japan,2016,270850000.0
Japan,2017,270850000.0
Japan,2018,270850000.0
Japan,2019,270850000.0
Japan,2020,270850000.0
Japan,2021,270850000.0
Japan,2022,270850000.0
Japan,2023,270850000.0
Japan,2024,270850000.0
Japan,2025,270850000.0
Japan,2026,270850000.0
Mexico,2016,191850000.0
Mexico,2017,191850000.0
Mexico,2018,191850000.0
Mexico,2019,191850000.0
Mexico,2020,191850000.0
Mexico,2021,191850000.0
Mexico,2022,191850000.0
Mexico,2023,191850000.0
Mexico,2024,191850000.0
Mexico,2025,191850000.0
Mexico,2026,191850000.0
Morocco,2016,447700000.0
Morocco,2017,447700000.0
Morocco,2018,447700000.0
Morocco,2019,447700000.0
Morocco,2020,447700000.0
Morocco,2021,447700000.0
Morocco,2022,447700000.0
Morocco,2023,447700000.0
Morocco,2024,447700000.0
Morocco,2025,447700000.0
Morocco,2026,447700000.0
Netherlands,2016,754200000.0
Netherlands,2017,754200000.0
Netherlands,2018,754200000.0
Netherlands,2019,754200000.0
Netherlands,2020,754200000.0
Netherlands,2021,754200000.0
Netherlands,2022,754200000.0
Netherlands,2023,754200000.0
Netherlands,2024,754200000.0
Netherlands,2025,754200000.0
Netherlands,2026,754200000.0
Poland,2016,232100000.0
Poland,2017,232100000.0
Poland,2018,232100000.0
Poland,2019,232100000.0
Poland,2020,232100000.0
Poland,2021,232100000.0
Poland,2022,232100000.0
Poland,2023,232100000.0
Poland,2024,232100000.0
Poland,2025,232100000.0
Poland,2026,232100000.0
Portugal,2016,1010000000.0
Portugal,2017,1010000000.0
Portugal,2018,1010000000.0
Portugal,2019,1010000000.0
Portugal,2020,1010000000.0
Portugal,2021,1010000000.0
Portugal,2022,1010000000.0
Portugal,2023,1010000000.0
Portugal,2024,1010000000.0
Portugal,2025,1010000000.0
Portugal,2026,1010000000.0
Senegal,2016,478100000.0
Senegal,2017,478100000.0
Senegal,2018,478100000.0
Senegal,2019,478100000.0
Senegal,2020,478100000.0
Senegal,2021,478100000.0
Senegal,2022,478100000.0
Senegal,2023,478100000.0
Senegal,2024,478100000.0
Senegal,2025,478100000.0
Senegal,2026,478100000.0
South Korea,2016,139050000.0
South Korea,2017,139050000.0
South Korea,2018,139050000.0
South Korea,2019,139050000.0
South Korea,2020,139050000.0
South Korea,2021,139050000.0
South Korea,2022,139050000.0
South Korea,2023,139050000.0
South Korea,2024,139050000.0
South Korea,2025,139050000.0
South Korea,2026,139050000.0
Spain,2016,1220000000.0
Spain,2017,1220000000.0
Spain,2018,1220000000.0
Spain,2019,1220000000.0
Spain,2020,1220000000.0
Spain,2021,1220000000.0
Spain,2022,1220000000.0
Spain,2023,1220000000.0
Spain,2024,1220000000.0
Spain,2025,1220000000.0
Spain,2026,1220000000.0
Switzerland,2016,332500000.0
Switzerland,2017,332500000.0
Switzerland,2018,332500000.0
Switzerland,2019,332500000.0
Switzerland,2020,332500000.0
Switzerland,2021,332500000.0
Switzerland,2022,332500000.0
Switzerland,2023,332500000.0
Switzerland,2024,332500000.0
Switzerland,2025,332500000.0
Switzerland,2026,332500000.0
United States,2016,385650000.0
United States,2017,385650000.0
United States,2018,385650000.0
United States,2019,385650000.0
United States,2020,385650000.0
United States,2021,385650000.0
United States,2022,385650000.0
United States,2023,385650000.0
United States,2024,385650000.0
United States,2025,385650000.0
United States,2026,385650000.0
Uruguay,2016,359300000.0
Uruguay,2017,359300000.0
Uruguay,2018,359300000.0
Uruguay,2019,359300000.0
Uruguay,2020,359300000.0
Uruguay,2021,359300000.0
Uruguay,2022,359300000.0
Uruguay,2023,359300000.0
Uruguay,2024,359300000.0
Uruguay,2025,359300000.0
Uruguay,2026,359300000.0
